country,2018
Aruba,
Afghanistan,103
Angola,5.2
Albania,120
UAE,
Argentina,1.64
Armenia,47.8
Antigua and Barbuda,194
Azerbaijan,8.79
Burundi,38.1
Benin,46.4
Burkina Faso,58.1
Bangladesh,18.6
Bahrain,
Bahamas,
Bosnia and Herzegovina,105
Belarus,12.6
Belize,89
Bermuda,
Bolivia,63.3
Brazil,2.16
Barbados,
Brunei,
Bhutan,142
Botswana,37.3
Central African Republic,131
Chile,
China,−0.503
Cote d'Ivoire,35
Cameroon,47
"Congo, Dem. Rep.",27.9
"Congo, Rep.",26.7
Colombia,36.3
Comoros,118
Cape Verde,164
Costa Rica,20.1
Cuba,66.8
Cayman Islands,
Cyprus,
Djibouti,167
Dominica,395
Dominican Republic,8.28
Algeria,3.4
Ecuador,23.7
Egypt,19.7
Eritrea,26.4
Ethiopia,43.9
Fiji,132
"Micronesia, Fed. Sts.",899
Gabon,52.9
Georgia,158
Ghana,34.8
Gibraltar,
Guinea,51.5
Gambia,97.6
Guinea-Bissau,79.9
Equatorial Guinea,4.16
Grenada,274
Guatemala,23.7
Guyana,132
"Hong Kong, China",
Honduras,68.1
Croatia,
Haiti,92.8
Indonesia,3.57
India,1.79
Iran,1.93
Iraq,57.1
Israel,
Jamaica,35.6
Jordan,241
Kazakhstan,4.22
Kenya,49.6
Kyrgyz Republic,68.1
Cambodia,48.1
Kiribati,656
St. Kitts and Nevis,
South Korea,
Kosovo,192
Kuwait,
Lao,82.6
Lebanon,238
Liberia,120
Libya,44.3
St. Lucia,48.4
Sri Lanka,−11.4
Lesotho,70.4
"Macao, China",
Morocco,22.8
Moldova,95.9
Madagascar,27.5
Maldives,278
Mexico,4.41
Marshall Islands,1200
North Macedonia,90.2
Mali,76.2
Malta,
Myanmar,32.7
Montenegro,251
Mongolia,104
Northern Mariana Islands,
Mozambique,62.8
Mauritania,103
Mauritius,54.7
Malawi,69
Malaysia,−1.05
Namibia,61.9
New Caledonia,
Niger,59
Nigeria,16.1
Nicaragua,55.3
Nepal,51.7
Nauru,3270
Oman,
Pakistan,6.11
Panama,9.39
Peru,14.1
Philippines,5
Palau,4750
Papua New Guinea,84.1
North Korea,4.65
Paraguay,25.6
Palestine,503
French Polynesia,
Qatar,
Rwanda,89.7
Saudi Arabia,
Sudan,21.9
Senegal,62.8
Singapore,
Solomon Islands,276
Sierra Leone,67.3
El Salvador,40.8
Somalia,102
Serbia,153
South Sudan,156
Sao Tome and Principe,248
Suriname,23.7
Slovenia,
Eswatini,104
Seychelles,
Syria,510
Turks and Caicos Islands,
Chad,54.2
Togo,40.8
Thailand,−5.87
Tajikistan,43.4
Turkmenistan,3.07
Timor-Leste,163
Tonga,923
Trinidad and Tobago,
Tunisia,68.6
Turkey,14.7
Tuvalu,2550
Tanzania,42.7
Uganda,46.8
Ukraine,27.1
Uruguay,
Uzbekistan,32.7
St. Vincent and the Grenadines,173
Venezuela,5
British Virgin Islands,
Vietnam,17.1
Vanuatu,459
Samoa,617
Yemen,234
South Africa,15.7
Zambia,55.7
Zimbabwe,52.8
