country,2018
Aruba,98.7
Afghanistan,49.2
Angola,51.1
Albania,99.0
Andorra,100.0
UAE,99.1
Argentina,
Armenia,93.7
American Samoa,54.2
Antigua and Barbuda,97.4
Australia,100.0
Austria,100.0
Azerbaijan,96.1
Burundi,45.8
Belgium,99.5
Benin,18.0
Burkina Faso,22.3
Bangladesh,53.4
Bulgaria,86.0
Bahrain,100.0
Bahamas,94.9
Bosnia and Herzegovina,95.4
Belarus,98.9
Belize,88.2
Bermuda,99.9
Bolivia,62.0
Brazil,88.5
Barbados,97.3
Brunei,94.6
Bhutan,74.1
Botswana,78.5
Central African Republic,14.8
Canada,98.8
Switzerland,99.9
Chile,100.0
China,89.7
Cote d'Ivoire,33.9
Cameroon,42.2
"Congo, Dem. Rep.",16.7
"Congo, Rep.",20.3
Colombia,91.3
Comoros,35.9
Cape Verde,76.7
Costa Rica,97.7
Cuba,90.2
Cayman Islands,83.4
Cyprus,99.4
Czech Republic,99.1
Germany,99.2
Djibouti,65.3
Dominica,
Denmark,99.6
Dominican Republic,86.7
Algeria,86.3
Ecuador,89.1
Egypt,96.9
Eritrea,
Spain,99.9
Estonia,99.1
Ethiopia,8.35
Finland,99.4
Fiji,93.5
France,98.6
Faeroe Islands,
"Micronesia, Fed. Sts.",90.5
Gabon,49.5
Isle of Man,100.0
UK,99.1
Georgia,86.6
Ghana,23.8
Gibraltar,100.0
Guinea,26.4
Gambia,47.0
Guinea-Bissau,23.6
Equatorial Guinea,
Greece,99.0
Grenada,
Greenland,62.5
Guatemala,67.9
Guam,90.1
Guyana,88.5
"Hong Kong, China",96.5
Honduras,81.1
Croatia,96.1
Haiti,35.8
Hungary,98.0
Indonesia,79.8
India,66.7
Ireland,89.3
Iran,89.7
Iraq,97.0
Iceland,98.8
Israel,99.9
Italy,99.9
Jamaica,86.5
Jordan,97.3
Japan,99.9
Kazakhstan,97.9
Kenya,34.9
Kyrgyz Republic,97.7
Cambodia,63.7
Kiribati,43.7
St. Kitts and Nevis,
South Korea,99.9
Kuwait,100.0
Lao,76.9
Lebanon,97.9
Liberia,20.2
Libya,92.1
St. Lucia,83.4
Liechtenstein,100.0
Sri Lanka,91.6
Lesotho,46.5
Lithuania,93.3
Luxembourg,97.6
Latvia,92.4
"Macao, China",100.0
St. Martin (French part),100.0
Morocco,85.4
Monaco,100.0
Moldova,82.3
Madagascar,12.6
Maldives,97.2
Mexico,90.2
Marshall Islands,81.8
North Macedonia,97.3
Mali,43.0
Malta,100.0
Myanmar,72.7
Montenegro,97.2
Mongolia,66.5
Northern Mariana Islands,79.5
Mozambique,31.9
Mauritania,47.5
Mauritius,
Malawi,40.6
Malaysia,95.8
Namibia,34.7
New Caledonia,100.0
Niger,14.3
Nigeria,42.2
Nicaragua,72.9
Netherlands,97.7
Curaçao,
Norway,98.1
Nepal,69.2
Nauru,65.9
New Zealand,100.0
Oman,99.3
Pakistan,63.7
Panama,82.2
Peru,76.1
Philippines,80.1
Palau,98.0
Papua New Guinea,19.1
Poland,99.0
Puerto Rico,100.0
North Korea,83.9
Portugal,99.6
Paraguay,90.7
Palestine,97.7
French Polynesia,97.1
Qatar,99.9
Romania,85.7
Russia,88.5
Rwanda,69.9
Saudi Arabia,95.3
Sudan,36.7
Senegal,56.0
Singapore,100.0
Solomon Islands,34.2
Sierra Leone,19.2
El Salvador,86.5
San Marino,100.0
Somalia,37.2
Serbia,97.8
South Sudan,14.5
Sao Tome and Principe,43.8
Suriname,88.5
Slovak Republic,97.5
Slovenia,98.5
Sweden,98.9
Eswatini,63.6
Sint Maarten (Dutch part),
Seychelles,99.2
Syria,93.6
Turks and Caicos Islands,93.1
Chad,12.1
Togo,17.8
Thailand,98.1
Tajikistan,96.4
Turkmenistan,98.6
Timor-Leste,54.1
Tonga,94.3
Trinidad and Tobago,93.9
Tunisia,95.3
Turkey,98.1
Tuvalu,83.5
Tanzania,27.9
Uganda,20.2
Ukraine,97.7
Uruguay,97.5
USA,99.7
Uzbekistan,95.8
St. Vincent and the Grenadines,89.7
Venezuela,96.2
British Virgin Islands,
Virgin Islands (U.S.),99.1
Vietnam,84.8
Vanuatu,48.9
Samoa,96.5
Yemen,53.1
South Africa,74.6
Zambia,34.7
Zimbabwe,36.4
