country,2018
Aruba,
Afghanistan,70.9
Angola,56.6
Albania,94.4
Andorra,100.0
UAE,100.0
Argentina,
Armenia,99.9
American Samoa,99.2
Antigua and Barbuda,98.4
Australia,100.0
Austria,100.0
Azerbaijan,94.9
Burundi,61.5
Belgium,100.0
Benin,66.5
Burkina Faso,49.5
Bangladesh,97.7
Bulgaria,99.2
Bahrain,99.9
Bahamas,98.9
Bosnia and Herzegovina,96.1
Belarus,98.4
Belize,98.4
Bermuda,99.9
Bolivia,92.0
Brazil,98.7
Barbados,98.5
Brunei,99.9
Bhutan,98.8
Botswana,91.3
Central African Republic,39.2
Canada,99.2
Switzerland,100.0
Chile,100.0
China,94.7
Cote d'Ivoire,72.5
Cameroon,67.5
"Congo, Dem. Rep.",35.8
"Congo, Rep.",73.4
Colombia,96.7
Comoros,80.2
Cape Verde,88.0
Costa Rica,99.8
Cuba,94.0
Cayman Islands,95.6
Cyprus,99.8
Czech Republic,99.9
Germany,100.0
Djibouti,75.9
Dominica,
Denmark,100.0
Dominican Republic,96.0
Algeria,94.0
Ecuador,94.7
Egypt,98.8
Eritrea,
Spain,99.9
Estonia,100.0
Ethiopia,45.8
Finland,100.0
Fiji,95.3
France,100.0
Faeroe Islands,100.0
"Micronesia, Fed. Sts.",90.1
Gabon,85.6
Isle of Man,99.3
UK,100.0
Georgia,94.2
Ghana,84.2
Gibraltar,100.0
Guinea,66.4
Gambia,83.3
Guinea-Bissau,61.2
Equatorial Guinea,
Greece,100.0
Grenada,
Greenland,100.0
Guatemala,93.1
Guam,99.7
Guyana,94.6
"Hong Kong, China",100.0
Honduras,94.2
Croatia,
Haiti,65.9
Hungary,100.0
Indonesia,91.0
India,91.0
Ireland,96.0
Iran,97.2
Iraq,96.9
Iceland,100.0
Israel,100.0
Italy,99.9
Jamaica,90.9
Jordan,98.9
Japan,99.0
Kazakhstan,95.4
Kenya,60.2
Kyrgyz Republic,89.4
Cambodia,74.4
Kiribati,73.2
St. Kitts and Nevis,
South Korea,99.7
Kuwait,100.0
Lao,83.3
Lebanon,92.3
Liberia,73.7
Libya,99.9
St. Lucia,96.9
Liechtenstein,100.0
Sri Lanka,88.1
Lesotho,72.5
Lithuania,98.0
Luxembourg,99.9
Latvia,98.7
"Macao, China",100.0
St. Martin (French part),99.9
Morocco,84.0
Monaco,100.0
Moldova,90.3
Madagascar,50.4
Maldives,99.5
Mexico,98.8
Marshall Islands,85.9
North Macedonia,97.7
Mali,77.8
Malta,100.0
Myanmar,77.1
Montenegro,98.5
Mongolia,80.8
Northern Mariana Islands,100.0
Mozambique,55.4
Mauritania,70.8
Mauritius,99.9
Malawi,68.7
Malaysia,97.1
Namibia,84.4
New Caledonia,98.8
Niger,47.0
Nigeria,73.1
Nicaragua,81.5
Netherlands,100.0
Curaçao,
Norway,100.0
Nepal,89.8
Nauru,97.0
New Zealand,100.0
Oman,91.5
Pakistan,90.0
Panama,93.9
Peru,92.4
Philippines,93.2
Palau,99.5
Papua New Guinea,46.0
Poland,92.6
Puerto Rico,99.9
North Korea,94.2
Portugal,99.2
Paraguay,99.5
Palestine,97.3
French Polynesia,100.0
Qatar,100.0
Romania,100.0
Russia,96.7
Rwanda,61.4
Saudi Arabia,98.7
Sudan,60.5
Senegal,81.5
Singapore,100.0
Solomon Islands,67.0
Sierra Leone,60.8
El Salvador,97.4
San Marino,100.0
Somalia,53.4
Serbia,94.5
South Sudan,41.0
Sao Tome and Principe,77.2
Suriname,97.1
Slovak Republic,99.8
Slovenia,99.5
Sweden,99.7
Eswatini,69.4
Sint Maarten (Dutch part),
Seychelles,96.2
Syria,93.7
Turks and Caicos Islands,98.7
Chad,49.8
Togo,66.7
Thailand,99.5
Tajikistan,80.4
Turkmenistan,99.3
Timor-Leste,80.8
Tonga,98.7
Trinidad and Tobago,98.9
Tunisia,95.7
Turkey,96.7
Tuvalu,99.2
Tanzania,55.1
Uganda,52.7
Ukraine,93.5
Uruguay,99.5
USA,99.7
Uzbekistan,95.2
St. Vincent and the Grenadines,97.7
Venezuela,94.0
British Virgin Islands,99.9
Virgin Islands (U.S.),98.7
Vietnam,95.2
Vanuatu,89.6
Samoa,95.4
Yemen,58.8
South Africa,93.0
Zambia,65.9
Zimbabwe,63.5
