country,2018
Afghanistan,62.3
Angola,77.2
Albania,8.82
Andorra,2.89
UAE,7.59
Argentina,9.94
Armenia,12.4
Antigua and Barbuda,6.44
Australia,3.69
Austria,3.52
Azerbaijan,21.5
Burundi,58.5
Belgium,3.65
Benin,93.0
Burkina Faso,76.4
Bangladesh,30.2
Bulgaria,7.06
Bahrain,7.09
Bahamas,10.2
Bosnia and Herzegovina,5.81
Belarus,3.42
Belize,13.0
Bolivia,26.8
Brazil,14.3
Barbados,12.2
Brunei,11.6
Bhutan,29.7
Botswana,36.5
Central African Republic,116.0
Canada,4.97
Switzerland,4.12
Chile,7.19
China,8.6
Cote d'Ivoire,80.9
Cameroon,76.1
"Congo, Dem. Rep.",88.1
"Congo, Rep.",50.1
Colombia,14.2
Comoros,67.5
Cape Verde,19.5
Costa Rica,8.79
Cuba,4.98
Cyprus,2.38
Czech Republic,3.37
Germany,3.66
Djibouti,59.3
Dominica,35.7
Denmark,4.22
Dominican Republic,28.9
Algeria,23.5
Ecuador,14.2
Egypt,21.2
Eritrea,41.9
Spain,3.03
Estonia,2.65
Ethiopia,55.2
Finland,1.7
Fiji,25.6
France,4.04
"Micronesia, Fed. Sts.",30.8
Gabon,44.8
UK,4.26
Georgia,9.81
Ghana,47.9
Guinea,101.0
Gambia,58.4
Guinea-Bissau,81.5
Equatorial Guinea,85.3
Greece,4.45
Grenada,15.2
Guatemala,26.2
Guyana,30.1
"Hong Kong, China",2.08
Honduras,17.6
Holy See,19.1
Croatia,4.67
Haiti,64.8
Hungary,4.27
Indonesia,25.0
India,36.6
Ireland,3.66
Iran,14.4
Iraq,26.7
Iceland,1.96
Israel,3.73
Italy,3.03
Jamaica,14.4
Jordan,16.1
Japan,2.49
Kazakhstan,9.91
Kenya,41.1
Kyrgyz Republic,18.9
Cambodia,28.0
Kiribati,52.5
St. Kitts and Nevis,12.0
South Korea,3.19
Kuwait,7.85
Lao,47.3
Lebanon,7.44
Liberia,70.9
Libya,12.0
St. Lucia,16.6
Liechtenstein,6.19
Sri Lanka,7.44
Lesotho,81.1
Lithuania,4.04
Luxembourg,2.42
Latvia,3.86
Morocco,22.4
Monaco,3.21
Moldova,15.8
Madagascar,53.6
Maldives,8.62
Mexico,12.7
Marshall Islands,33.1
North Macedonia,9.9
Mali,97.8
Malta,7.02
Myanmar,46.2
Montenegro,2.55
Mongolia,16.3
Mozambique,73.2
Mauritania,75.7
Mauritius,15.5
Malawi,49.7
Malaysia,7.78
Namibia,39.6
Niger,83.7
Nigeria,120.0
Nicaragua,18.3
Netherlands,3.87
Norway,2.54
Nepal,32.2
Nauru,31.8
New Zealand,5.7
Oman,11.4
Pakistan,69.3
Panama,15.3
Peru,14.3
Philippines,28.4
Palau,17.9
Papua New Guinea,47.8
Poland,4.45
North Korea,18.2
Portugal,3.75
Paraguay,20.1
Palestine,20.3
Qatar,6.83
Romania,7.28
Russia,7.18
Rwanda,35.3
Saudi Arabia,7.06
Sudan,60.5
Senegal,43.6
Singapore,2.81
Solomon Islands,20.0
Sierra Leone,105.0
El Salvador,13.7
San Marino,1.96
Somalia,122.0
Serbia,5.55
South Sudan,98.6
Sao Tome and Principe,31.2
Suriname,18.9
Slovak Republic,5.59
Slovenia,2.14
Sweden,2.71
Eswatini,54.4
Seychelles,14.4
Syria,16.7
Chad,119.0
Togo,69.8
Thailand,9.1
Tajikistan,34.8
Turkmenistan,45.8
Timor-Leste,45.8
Tonga,15.6
Trinidad and Tobago,18.3
Tunisia,17.0
Turkey,10.6
Tuvalu,24.4
Taiwan,4.56
Tanzania,53.0
Uganda,46.4
Ukraine,8.73
Uruguay,7.58
USA,6.53
Uzbekistan,21.4
St. Vincent and the Grenadines,16.4
Venezuela,24.5
Vietnam,20.7
Vanuatu,26.4
Samoa,15.8
Yemen,55.0
South Africa,33.8
Zambia,57.8
Zimbabwe,46.2
