country,2018
Afghanistan,0.254
Angola,1.12
Albania,2.08
Andorra,6.12
UAE,23.5
Argentina,3.95
Armenia,2.49
Antigua and Barbuda,5.88
Australia,14.6
Austria,10.3
Azerbaijan,3.47
Burundi,0.047
Belgium,18.1
Benin,0.659
Burkina Faso,0.279
Bangladesh,0.775
Bulgaria,5.7
Bahrain,12.9
Bahamas,4.7
Bosnia and Herzegovina,6.53
Belarus,6.5
Belize,1.5
Bolivia,2.03
Brazil,2.26
Barbados,4.48
Brunei,21.5
Bhutan,1.61
Botswana,4.94
Central African Republic,0.065
Canada,14.3
Switzerland,14.6
Chile,4.91
China,6.76
Cote d'Ivoire,0.582
Cameroon,0.411
"Congo, Dem. Rep.",0.024
"Congo, Rep.",0.617
Colombia,2.19
Comoros,0.263
Cape Verde,1.16
Costa Rica,2.55
Cuba,2.53
Cyprus,6.45
Czech Republic,10.7
Germany,10.6
Djibouti,0.672
Dominica,2.55
Denmark,8.67
Dominican Republic,2.94
Algeria,3.69
Ecuador,2.64
Egypt,2.32
Eritrea,0.215
Spain,6.35
Estonia,13.5
Ethiopia,0.173
Finland,10.4
Fiji,2.41
France,6.62
"Micronesia, Fed. Sts.",1.34
Gabon,2.53
UK,8.02
Georgia,3.31
Ghana,0.698
Guinea,0.446
Gambia,0.268
Guinea-Bissau,0.181
Equatorial Guinea,4.35
Greece,5.49
Grenada,2.43
Guatemala,1.38
Guyana,3.12
"Hong Kong, China",11.3
Honduras,0.811
Croatia,5.82
Haiti,0.27
Hungary,6.83
Indonesia,2.28
India,1.77
Ireland,10.4
Iran,6.91
Iraq,5.32
Iceland,10.8
Israel,9.68
Italy,7.49
Jamaica,2.6
Jordan,2.96
Japan,10.1
Kazakhstan,9.78
Kenya,0.538
Kyrgyz Republic,3.22
Cambodia,2.14
Kiribati,0.601
St. Kitts and Nevis,4.62
South Korea,13.9
Kuwait,22.2
Lao,3.12
Lebanon,3.54
Liberia,0.324
Libya,8.1
St. Lucia,2.31
Liechtenstein,4.03
Sri Lanka,1.68
Lesotho,1.26
Lithuania,8.04
Luxembourg,15.7
Latvia,8.33
Morocco,1.86
Moldova,1.27
Madagascar,0.191
Maldives,2.96
Mexico,4.22
Marshall Islands,2.58
North Macedonia,3.49
Mali,0.187
Malta,21.0
Myanmar,0.491
Montenegro,3.2
Mongolia,12.8
Mozambique,0.442
Mauritania,0.605
Mauritius,4.56
Malawi,0.137
Malaysia,7.67
Namibia,3.78
Niger,0.103
Nigeria,0.506
Nicaragua,1.05
Netherlands,9.8
Norway,9.32
Nepal,0.94
Nauru,4.71
New Zealand,7.97
Oman,13.6
Pakistan,1.03
Panama,4.13
Peru,2.0
Philippines,1.61
Palau,13.2
Papua New Guinea,0.911
Poland,8.49
North Korea,1.18
Portugal,5.42
Paraguay,1.97
Palestine,0.661
Qatar,24.5
Romania,4.5
Russia,9.27
Rwanda,0.15
Saudi Arabia,17.1
Sudan,0.504
Senegal,0.942
Singapore,28.0
Solomon Islands,0.273
Sierra Leone,0.141
El Salvador,1.41
Somalia,0.047
Serbia,5.17
South Sudan,0.171
Sao Tome and Principe,0.587
Suriname,3.1
Slovak Republic,7.72
Slovenia,10.0
Sweden,7.13
Eswatini,1.06
Seychelles,6.75
Syria,1.67
Chad,0.066
Togo,0.982
Thailand,3.76
Tajikistan,1.47
Turkmenistan,13.7
Timor-Leste,0.412
Tonga,1.31
Trinidad and Tobago,15.2
Tunisia,2.34
Turkey,5.13
Tuvalu,1.01
Taiwan,12.3
Tanzania,0.301
Uganda,0.187
Ukraine,4.77
Uruguay,3.08
USA,17.4
Uzbekistan,2.81
St. Vincent and the Grenadines,2.03
Venezuela,1.17
Vietnam,1.81
Vanuatu,0.529
Samoa,1.32
Yemen,0.356
South Africa,5.42
Zambia,0.467
Zimbabwe,0.83
