country,2018
Aruba,
Afghanistan,
Angola,
Anguilla,
Albania,11.3
Netherlands Antilles,
UAE,
Argentina,8.74
Armenia,20.4
American Samoa,
Antigua and Barbuda,
Australia,4.44
Austria,4.13
Azerbaijan,4.89
Burundi,
Belgium,5.04
Benin,1.2
Burkina Faso,4.04
Bangladesh,
Bulgaria,4.56
Bahrain,
Bahamas,
Bosnia and Herzegovina,20.6
Belarus,2.9
Belize,
Bermuda,
Bolivia,3.68
Brazil,11.3
Barbados,7.93
Brunei,7.07
Bhutan,
Botswana,
Canada,4.88
Switzerland,5.21
Chile,7.54
Cote d'Ivoire,
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",
Cook Is,
Colombia,10.3
Comoros,
Cape Verde,9.15
Costa Rica,9.85
Cuba,
Cayman Islands,
Cyprus,8.57
Czech Republic,2.66
Germany,2.78
Djibouti,
Dominica,
Denmark,4.93
Dominican Republic,7.5
Algeria,
Ecuador,4.05
Egypt,16.3
Spain,16.2
Estonia,5.15
Ethiopia,
Finland,6.06
Fiji,
Falkland Is (Malvinas),
France,8.44
"Micronesia, Fed. Sts.",
Gabon,
Isle of Man,
UK,3.08
Georgia,12.6
Ghana,
Guinea,
Gambia,7.92
Greece,24.1
Grenada,
Guatemala,1.66
French Guiana,
Guam,
Guyana,11.7
"Hong Kong, China",2.03
Honduras,5.48
Croatia,8.42
Hungary,3.68
Indonesia,2.25
India,3.14
Ireland,4.92
Iran,17.4
Iraq,
Iceland,1.92
Israel,3.62
Italy,11.9
Jamaica,9.87
Jordan,18.6
Japan,2.41
Kazakhstan,
Kenya,
Kyrgyz Republic,3.97
Cambodia,
Kiribati,
St. Kitts and Nevis,
South Korea,3.56
Kosovo,28.1
Kuwait,
Lao,
Lebanon,
Liberia,
Libya,
St. Lucia,18.5
Sri Lanka,5.13
Lesotho,
Lithuania,4.69
Luxembourg,5.64
Latvia,6.14
"Macao, China",1.2
Morocco,
Monaco,
Moldova,3.0
Madagascar,
Maldives,
Mexico,2.98
Marshall Islands,
North Macedonia,18.7
Mali,1.5
Malta,2.83
Myanmar,0.85
Montenegro,15.8
Mongolia,3.97
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,7.14
Malawi,
Malaysia,1.84
Namibia,17.7
New Caledonia,
Niger,
Nigeria,
Nicaragua,
Niue,
Netherlands,3.02
Curaçao,15.5
Norway,3.22
Nepal,
Nauru,
New Zealand,3.83
Oman,
Pakistan,3.19
Panama,4.03
Peru,3.08
Philippines,1.91
Palau,
Papua New Guinea,
Poland,3.49
Puerto Rico,
Portugal,6.67
Paraguay,5.25
Palestine,37.5
French Polynesia,
Qatar,
Reunion,
Romania,2.86
Russia,4.19
Rwanda,15.8
Saudi Arabia,19.1
Sudan,
Senegal,
Singapore,
St. Helena,
Solomon Islands,
Sierra Leone,
El Salvador,2.6
San Marino,
Serbia,14.1
South Sudan,
Suriname,
Slovak Republic,6.66
Slovenia,5.7
Sweden,5.25
Eswatini,
Seychelles,2.3
Syria,
Chad,0.93
Togo,
Thailand,0.44
Tajikistan,
Timor-Leste,
Tonga,2.04
Trinidad and Tobago,
Tunisia,
Turkey,12.5
Tuvalu,
Taiwan,2.89
Tanzania,
Uganda,
Ukraine,6.92
Uruguay,7.58
USA,3.36
St. Vincent and the Grenadines,
Venezuela,
British Virgin Islands,
Vietnam,0.64
Vanuatu,
Samoa,
Yemen,
South Africa,27.2
Zambia,10.9
Zimbabwe,
