country,2018
Afghanistan,2060
Angola,6880
Albania,13.3k
Andorra,56.2k
UAE,71.2k
Argentina,22.7k
Armenia,13.2k
Antigua and Barbuda,22.4k
Australia,49.2k
Austria,55.5k
Azerbaijan,14.2k
Burundi,740
Belgium,50.8k
Benin,3040
Burkina Faso,2050
Bangladesh,5120
Bulgaria,22.2k
Bahrain,49k
Bahamas,34.1k
Bosnia and Herzegovina,14.3k
Belarus,19k
Belize,8660
Bolivia,8470
Brazil,14.7k
Barbados,15.9k
Brunei,59.7k
Bhutan,11.2k
Botswana,15k
Central African Republic,854
Canada,48.8k
Switzerland,68.7k
Chile,25.2k
China,15.1k
Cote d'Ivoire,4980
Cameroon,3740
"Congo, Dem. Rep.",1050
"Congo, Rep.",3620
Colombia,14.4k
Comoros,3290
Cape Verde,7490
Costa Rica,20.5k
Cuba,9460
Cyprus,38.5k
Czech Republic,39.9k
Germany,53.2k
Djibouti,4600
Dominica,11.8k
Denmark,55.4k
Dominican Republic,17.5k
Algeria,11.7k
Ecuador,11.2k
Egypt,11.4k
Eritrea,1720
Spain,39.9k
Estonia,35.3k
Ethiopia,2070
Finland,48.1k
Fiji,13.3k
France,45.3k
"Micronesia, Fed. Sts.",3220
Gabon,14.3k
UK,45.8k
Georgia,14.1k
Ghana,5140
Guinea,2470
Gambia,1990
Guinea-Bissau,1740
Equatorial Guinea,17.5k
Greece,29.1k
Grenada,15.4k
Guatemala,8470
Guyana,12.4k
"Hong Kong, China",61k
Honduras,5560
Croatia,28.2k
Haiti,3210
Hungary,31.1k
Indonesia,11.4k
India,6400
Ireland,82.2k
Iran,14.7k
Iraq,10k
Iceland,56.2k
Israel,40.3k
Italy,41.5k
Jamaica,10.2k
Jordan,9400
Japan,41.5k
Kazakhstan,25.8k
Kenya,4460
Kyrgyz Republic,5160
Cambodia,4220
Kiribati,1900
St. Kitts and Nevis,30.2k
South Korea,41.9k
Kuwait,46k
Lao,7550
Lebanon,17.9k
Liberia,1520
Libya,21.2k
St. Lucia,15.7k
Sri Lanka,13.7k
Lesotho,2560
Lithuania,35.3k
Luxembourg,111k
Latvia,30.3k
Morocco,8060
Monaco,204k
Moldova,12.1k
Madagascar,1560
Maldives,20.2k
Mexico,20.2k
Marshall Islands,5030
North Macedonia,15.7k
Mali,2190
Malta,44k
Myanmar,4830
Montenegro,20.7k
Mongolia,12.1k
Mozambique,1290
Mauritania,5540
Mauritius,23k
Malawi,1480
Malaysia,26.8k
Namibia,10.3k
Niger,1190
Nigeria,5090
Nicaragua,5640
Netherlands,55.4k
Norway,64.7k
Nepal,3720
Nauru,9710
New Zealand,43.1k
Oman,34.2k
Pakistan,5110
Panama,32.3k
Peru,12.7k
Philippines,8370
Palau,17.4k
Papua New Guinea,3900
Poland,31.7k
North Korea,1910
Portugal,34.1k
Paraguay,13.8k
Palestine,6320
Qatar,91.4k
Romania,28.8k
Russia,26.7k
Rwanda,2050
Saudi Arabia,46.7k
Sudan,4350
Senegal,3370
Singapore,97.5k
Solomon Islands,2550
Sierra Leone,1610
El Salvador,8760
San Marino,58.9k
Somalia,1210
Serbia,17.4k
South Sudan,435
Sao Tome and Principe,4010
Suriname,18.4k
Slovak Republic,31.3k
Slovenia,37.9k
Sweden,52k
Eswatini,8130
Seychelles,30.3k
Syria,3740
Chad,1560
Togo,2020
Thailand,17.7k
Tajikistan,3410
Turkmenistan,16.6k
Timor-Leste,3070
Tonga,6290
Trinidad and Tobago,25.9k
Tunisia,11k
Turkey,28.4k
Tuvalu,4280
Taiwan,49.8k
Tanzania,2510
Uganda,2190
Ukraine,12.3k
Uruguay,23.6k
USA,61k
Uzbekistan,7120
St. Vincent and the Grenadines,14k
Venezuela,10.4k
Vietnam,9640
Vanuatu,3110
Samoa,6140
Yemen,2000
South Africa,14k
Zambia,3370
Zimbabwe,2400
