country,2018
Afghanistan,83.8
Angola,77.3
Albania,18.4
UAE,0.4
Argentina,11.1
Armenia,47.4
Antigua and Barbuda,10.4
Australia,1.04
Austria,0.68
Azerbaijan,2.16
Burundi,96.4
Belgium,0.2
Benin,85.9
Burkina Faso,86.8
Bangladesh,82.5
Bulgaria,8.36
Bahrain,2.99
Bahamas,7.78
Bosnia and Herzegovina,4.26
Belarus,2.72
Belize,67.3
Bolivia,19.9
Brazil,26.7
Barbados,32.1
Brunei,0.45
Bhutan,21.7
Botswana,61.9
Central African Republic,95.3
Canada,0.83
Switzerland,0.15
Chile,7.7
China,28.0
Cote d'Ivoire,77.0
Cameroon,74.0
"Congo, Dem. Rep.",97.1
"Congo, Rep.",87.7
Colombia,33.9
Comoros,68.2
Cape Verde,47.4
Costa Rica,14.6
Cuba,44.5
Cyprus,0.19
Czech Republic,0.28
Germany,0.35
Djibouti,75.7
Dominica,27.1
Denmark,0.27
Dominican Republic,22.0
Algeria,30.0
Ecuador,28.1
Egypt,71.7
Eritrea,92.5
Spain,2.51
Estonia,1.13
Ethiopia,88.5
Finland,0.21
Fiji,46.4
France,0.14
"Micronesia, Fed. Sts.",71.8
Gabon,33.2
UK,0.79
Georgia,53.8
Ghana,76.1
Guinea,85.9
Gambia,79.5
Guinea-Bissau,87.3
Equatorial Guinea,18.3
Greece,3.69
Grenada,14.2
Guatemala,52.1
Guyana,29.3
"Hong Kong, China",1.64
Honduras,50.9
Croatia,3.05
Haiti,84.1
Hungary,3.22
Indonesia,64.3
India,83.0
Ireland,0.11
Iran,23.9
Iraq,21.4
Iceland,0.07
Israel,3.53
Italy,2.48
Jamaica,8.87
Jordan,13.8
Japan,1.5
Kazakhstan,14.7
Kenya,87.5
Kyrgyz Republic,64.5
Cambodia,77.8
Kiribati,66.7
St. Kitts and Nevis,2.41
South Korea,0.79
Kuwait,0.15
Lao,70.2
Lebanon,1.87
Liberia,88.1
Libya,9.34
St. Lucia,6.64
Sri Lanka,48.4
Lesotho,80.2
Lithuania,3.28
Luxembourg,0.68
Latvia,3.34
Morocco,37.8
Moldova,15.2
Madagascar,97.8
Maldives,3.37
Mexico,29.0
Marshall Islands,36.5
North Macedonia,21.6
Mali,82.6
Malta,0.32
Myanmar,65.3
Montenegro,18.6
Mongolia,38.5
Mozambique,94.7
Mauritania,65.4
Mauritius,12.8
Malawi,96.8
Malaysia,4.17
Namibia,57.4
Niger,94.9
Nigeria,90.0
Nicaragua,39.4
Netherlands,0.39
Norway,0.47
Nepal,51.5
Nauru,61.7
New Zealand,0.12
Oman,1.73
Pakistan,83.5
Panama,13.1
Peru,30.8
Philippines,65.0
Palau,14.1
Papua New Guinea,86.1
Poland,4.2
North Korea,90.0
Portugal,2.31
Paraguay,20.5
Palestine,21.4
Qatar,0.0
Romania,12.6
Russia,5.39
Rwanda,91.7
Saudi Arabia,1.01
Sudan,87.8
Senegal,74.5
Singapore,0.02
Solomon Islands,87.2
Sierra Leone,89.5
El Salvador,33.5
Somalia,93.7
Serbia,8.78
South Sudan,96.8
Sao Tome and Principe,78.0
Suriname,13.3
Slovak Republic,3.58
Slovenia,0.15
Sweden,0.95
Eswatini,77.0
Seychelles,6.58
Syria,69.5
Chad,88.7
Togo,84.8
Thailand,16.4
Tajikistan,59.8
Turkmenistan,56.4
Timor-Leste,94.4
Tonga,31.3
Trinidad and Tobago,5.83
Tunisia,16.2
Turkey,11.1
Tuvalu,47.7
Taiwan,0.33
Tanzania,92.0
Uganda,90.1
Ukraine,10.0
Uruguay,5.38
USA,1.13
Uzbekistan,25.7
St. Vincent and the Grenadines,24.2
Venezuela,65.8
Vietnam,23.6
Vanuatu,74.5
Samoa,39.2
Yemen,93.4
South Africa,60.5
Zambia,91.2
Zimbabwe,83.0
