country,2018
Angola,39.6
Albania,22.7
UAE,20.5
Argentina,30.1
Armenia,29.2
Australia,26.2
Austria,23.9
Azerbaijan,
Burundi,
Belgium,22.2
Benin,30.0
Burkina Faso,35.3
Bangladesh,
Bulgaria,32.6
Bosnia and Herzegovina,
Belarus,21.4
Belize,
Bolivia,30.6
Brazil,42.5
Bhutan,
Botswana,
Central African Republic,
Canada,24.4
Switzerland,25.8
Chile,
China,29.4
Cote d'Ivoire,29.0
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",
Colombia,39.7
Comoros,
Cape Verde,
Costa Rica,36.3
Cyprus,27.2
Czech Republic,21.5
Germany,24.9
Djibouti,
Denmark,23.5
Dominican Republic,35.1
Algeria,
Ecuador,34.4
Egypt,
Spain,25.3
Estonia,22.4
Ethiopia,
Finland,22.6
Fiji,
France,26.7
"Micronesia, Fed. Sts.",
Gabon,
UK,25.4
Georgia,27.5
Ghana,
Guinea,23.1
Gambia,
Guinea-Bissau,27.6
Greece,24.9
Grenada,33.7
Guatemala,
Guyana,
Honduras,35.3
Croatia,22.7
Haiti,
Hungary,23.2
Indonesia,28.5
India,28.4
Ireland,25.1
Iran,29.1
Iraq,
Iceland,
Israel,27.2
Italy,25.9
Jamaica,27.6
Jordan,
Japan,
Kazakhstan,23.4
Kenya,
Kyrgyz Republic,23.6
Kiribati,
South Korea,24.8
Kosovo,
Lao,31.2
Lebanon,
Liberia,
St. Lucia,
Sri Lanka,
Lesotho,
Lithuania,27.1
Luxembourg,26.6
Latvia,26.9
Morocco,
Moldova,21.9
Madagascar,
Maldives,
Mexico,36.6
Marshall Islands,
North Macedonia,22.9
Mali,28.1
Malta,22.9
Myanmar,
Montenegro,26.0
Mongolia,25.7
Mozambique,
Mauritania,
Mauritius,
Malawi,
Malaysia,31.2
Namibia,
Niger,31.1
Nigeria,26.7
Nicaragua,
Netherlands,23.0
Norway,22.2
Nepal,
Nauru,
Pakistan,25.5
Panama,37.1
Peru,31.6
Philippines,33.5
Papua New Guinea,
Poland,24.0
Portugal,26.6
Paraguay,35.8
Palestine,
Qatar,
Romania,24.9
Russia,26.3
Rwanda,
Sudan,
Senegal,30.8
Solomon Islands,
Sierra Leone,29.4
El Salvador,29.4
Serbia,25.4
South Sudan,
Sao Tome and Principe,
Suriname,
Slovak Republic,19.6
Slovenia,21.0
Sweden,22.9
Eswatini,
Seychelles,23.9
Syria,
Chad,29.7
Togo,33.0
Thailand,28.1
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,32.6
Tuvalu,
Tanzania,33.1
Uganda,
Ukraine,22.0
Uruguay,29.7
USA,30.3
Uzbekistan,
Venezuela,
Vietnam,27.5
Vanuatu,
Samoa,
Yemen,
South Africa,
Zambia,
Zimbabwe,
