country,2018
Aruba,
Afghanistan,16.8
Angola,29.0
Albania,65.4
Andorra,
UAE,98.5
Argentina,77.7
Armenia,68.2
American Samoa,
Antigua and Barbuda,79.6
Australia,90.0
Austria,87.5
Azerbaijan,79.8
Burundi,4.0
Belgium,88.6
Benin,19.0
Burkina Faso,8.5
Bangladesh,25.6
Bulgaria,64.8
Bahrain,98.6
Bahamas,83.0
Bosnia and Herzegovina,70.1
Belarus,79.1
Belize,49.8
Bermuda,
Bolivia,44.3
Brazil,70.4
Barbados,72.4
Brunei,95.0
Bhutan,63.5
Botswana,58.0
Central African Republic,5.1
Canada,94.6
Switzerland,91.8
Chile,84.9
China,59.2
Cote d'Ivoire,37.5
Cameroon,29.7
"Congo, Dem. Rep.",11.7
"Congo, Rep.",
Colombia,64.1
Comoros,
Cape Verde,59.5
Costa Rica,73.5
Cuba,62.7
Cayman Islands,
Cyprus,84.4
Czech Republic,80.7
Germany,87.0
Djibouti,58.0
Dominica,
Denmark,97.3
Dominican Republic,74.8
Algeria,49.0
Ecuador,57.5
Egypt,46.9
Eritrea,5.3
Spain,86.1
Estonia,89.4
Ethiopia,15.9
Finland,88.9
Fiji,68.9
France,82.0
Faeroe Islands,
"Micronesia, Fed. Sts.",36.6
Gabon,59.6
UK,90.7
Georgia,62.7
Ghana,43.0
Gibraltar,
Guinea,21.8
Gambia,28.3
Guinea-Bissau,15.7
Equatorial Guinea,
Greece,72.2
Grenada,61.4
Greenland,
Guatemala,41.5
Guam,
Guyana,51.1
"Hong Kong, China",90.5
Honduras,36.0
Croatia,75.3
Haiti,32.5
Hungary,76.1
Indonesia,39.9
India,20.1
Ireland,87.0
Iran,70.2
Iraq,33.9
Iceland,99.0
Israel,83.7
Italy,74.4
Jamaica,68.2
Jordan,65.2
Japan,88.7
Kazakhstan,78.9
Kenya,19.5
Kyrgyz Republic,62.8
Cambodia,
Kiribati,33.0
St. Kitts and Nevis,68.6
South Korea,96.0
Kosovo,89.4
Kuwait,99.6
Lao,36.3
Lebanon,80.9
Liberia,18.9
Libya,
St. Lucia,69.4
Liechtenstein,
Sri Lanka,28.3
Lesotho,40.8
Lithuania,79.7
Luxembourg,97.1
Latvia,83.6
"Macao, China",83.8
Morocco,64.8
Monaco,
Moldova,50.3
Madagascar,8.7
Maldives,70.9
Mexico,56.7
Marshall Islands,
North Macedonia,79.2
Mali,21.4
Malta,81.7
Myanmar,33.7
Montenegro,71.5
Mongolia,47.1
Northern Mariana Islands,
Mozambique,10.9
Mauritania,35.1
Mauritius,58.6
Malawi,8.0
Malaysia,81.2
Namibia,42.8
New Caledonia,
Niger,
Nigeria,27.7
Nicaragua,37.6
Netherlands,91.9
Curaçao,
Norway,96.5
Nepal,28.6
Nauru,
New Zealand,89.0
Oman,85.5
Pakistan,15.3
Panama,61.8
Peru,55.1
Philippines,44.1
Palau,
Papua New Guinea,
Poland,77.5
Puerto Rico,70.9
North Korea,
Portugal,74.7
Paraguay,65.0
Palestine,64.4
French Polynesia,
Qatar,99.7
Romania,70.7
Russia,80.9
Rwanda,19.2
Saudi Arabia,93.3
Sudan,24.6
Senegal,35.3
Singapore,88.2
Solomon Islands,20.9
Sierra Leone,15.8
El Salvador,43.8
San Marino,
Somalia,
Serbia,73.4
South Sudan,4.8
Sao Tome and Principe,38.0
Suriname,55.1
Slovak Republic,80.4
Slovenia,79.8
Sweden,89.2
Eswatini,39.4
Seychelles,69.2
Syria,33.8
Turks and Caicos Islands,
Chad,7.0
Togo,15.5
Thailand,56.8
Tajikistan,
Turkmenistan,
Timor-Leste,27.6
Tonga,53.4
Trinidad and Tobago,72.8
Tunisia,64.2
Turkey,71.0
Tuvalu,
Tanzania,17.1
Uganda,6.0
Ukraine,62.6
Uruguay,80.7
USA,88.5
Uzbekistan,55.2
St. Vincent and the Grenadines,56.0
Venezuela,
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,69.8
Vanuatu,39.5
Samoa,49.1
Yemen,
South Africa,62.4
Zambia,14.3
Zimbabwe,25.0
