country,2018
Afghanistan,62.7
Angola,64.6
Albania,78.4
Andorra,82.1
UAE,73.7
Argentina,76.5
Armenia,75.6
Antigua and Barbuda,76.2
Australia,82.9
Austria,82.1
Azerbaijan,70.8
Burundi,63.4
Belgium,81.4
Benin,64.0
Burkina Faso,61.3
Bangladesh,74.2
Bulgaria,73.3
Bahrain,77.0
Bahamas,73.8
Bosnia and Herzegovina,76.9
Belarus,74.0
Belize,74.4
Bolivia,71.8
Brazil,75.7
Barbados,76.5
Brunei,74.2
Bhutan,73.0
Botswana,61.8
Central African Republic,51.5
Canada,82.2
Switzerland,83.9
Chile,80.1
China,77.4
Cote d'Ivoire,63.6
Cameroon,62.6
"Congo, Dem. Rep.",64.7
"Congo, Rep.",65.0
Colombia,80.1
Comoros,68.5
Cape Verde,73.5
Costa Rica,80.0
Cuba,78.3
Cyprus,80.8
Czech Republic,79.3
Germany,81.2
Djibouti,66.7
Dominica,72.3
Denmark,81.1
Dominican Republic,72.9
Algeria,76.0
Ecuador,76.2
Egypt,70.7
Eritrea,63.4
Spain,83.1
Estonia,77.9
Ethiopia,68.4
Finland,81.8
Fiji,68.3
France,82.9
"Micronesia, Fed. Sts.",64.1
Gabon,67.5
UK,81.0
Georgia,73.3
Ghana,65.8
Guinea,60.6
Gambia,66.4
Guinea-Bissau,60.3
Equatorial Guinea,65.8
Greece,81.0
Grenada,73.2
Guatemala,72.4
Guyana,67.1
"Hong Kong, China",85.3
Honduras,71.9
Croatia,78.6
Haiti,63.5
Hungary,76.3
Indonesia,71.1
India,70.5
Ireland,82.0
Iran,77.6
Iraq,73.3
Iceland,84.0
Israel,83.0
Italy,83.1
Jamaica,76.3
Jordan,77.9
Japan,84.8
Kazakhstan,71.7
Kenya,66.1
Kyrgyz Republic,73.3
Cambodia,69.7
Kiribati,59.3
St. Kitts and Nevis,72.1
South Korea,82.9
Kuwait,81.6
Lao,68.6
Lebanon,76.2
Liberia,65.7
Libya,75.7
St. Lucia,75.1
Liechtenstein,83.2
Sri Lanka,77.2
Lesotho,51.4
Lithuania,76.1
Luxembourg,82.9
Latvia,75.8
Morocco,73.1
Monaco,79.9
Moldova,74.0
Madagascar,65.1
Maldives,79.0
Mexico,75.5
Marshall Islands,65.3
North Macedonia,74.3
Mali,61.2
Malta,82.5
Myanmar,69.1
Montenegro,75.6
Mongolia,68.0
Mozambique,57.9
Mauritania,70.5
Mauritius,75.3
Malawi,64.1
Malaysia,75.2
Namibia,64.7
Niger,62.0
Nigeria,63.8
Nicaragua,75.2
Netherlands,81.7
Norway,82.8
Nepal,70.8
Nauru,63.2
New Zealand,81.8
Oman,73.6
Pakistan,65.5
Panama,79.9
Peru,80.0
Philippines,71.6
Palau,67.4
Papua New Guinea,64.4
Poland,78.0
North Korea,72.9
Portugal,81.7
Paraguay,76.5
Palestine,74.7
Qatar,76.1
Romania,75.5
Russia,73.0
Rwanda,68.3
Saudi Arabia,74.3
Sudan,70.1
Senegal,68.0
Singapore,84.7
Solomon Islands,59.0
Sierra Leone,61.2
El Salvador,75.6
San Marino,82.1
Somalia,57.9
Serbia,75.6
South Sudan,63.0
Sao Tome and Principe,70.7
Suriname,72.6
Slovak Republic,77.5
Slovenia,81.4
Sweden,82.7
Eswatini,57.8
Seychelles,73.5
Syria,73.2
Chad,59.9
Togo,64.5
Thailand,78.3
Tajikistan,69.2
Turkmenistan,70.6
Timor-Leste,70.5
Tonga,72.9
Trinidad and Tobago,74.8
Tunisia,77.5
Turkey,78.1
Tuvalu,67.8
Taiwan,80.2
Tanzania,66.7
Uganda,65.7
Ukraine,73.9
Uruguay,77.5
USA,79.0
Uzbekistan,68.1
St. Vincent and the Grenadines,72.8
Venezuela,75.4
Vietnam,74.3
Vanuatu,65.3
Samoa,70.4
Yemen,66.1
South Africa,64.4
Zambia,62.5
Zimbabwe,60.6
