country,2018
Afghanistan,36.7M
Angola,31.3M
Albania,2.89M
Andorra,75.2k
UAE,9.35M
Argentina,44.7M
Armenia,2.91M
Antigua and Barbuda,90.9k
Australia,25.1M
Austria,8.84M
Azerbaijan,10M
Burundi,11.9M
Belgium,11.4M
Benin,12.4M
Burkina Faso,20.4M
Bangladesh,164M
Bulgaria,7.02M
Bahrain,1.5M
Bahamas,393k
Bosnia and Herzegovina,3.39M
Belarus,9.48M
Belize,380k
Bolivia,11.5M
Brazil,206M
Barbados,281k
Brunei,438k
Bhutan,760k
Botswana,2.3M
Central African Republic,4.88M
Canada,37.3M
Switzerland,8.52M
Chile,18.9M
China,1.42B
Cote d'Ivoire,27.5M
Cameroon,24.8M
"Congo, Dem. Rep.",90M
"Congo, Rep.",5.48M
Colombia,49M
Comoros,772k
Cape Verde,513k
Costa Rica,4.96M
Cuba,11.2M
Cyprus,1.27M
Czech Republic,10.5M
Germany,83.4M
Djibouti,1.07M
Dominica,68.2k
Denmark,5.79M
Dominican Republic,10.8M
Algeria,42.5M
Ecuador,17M
Egypt,106M
Eritrea,3.19M
Spain,47.1M
Estonia,1.32M
Ethiopia,113M
Finland,5.52M
Fiji,917k
France,65.5M
"Micronesia, Fed. Sts.",110k
Gabon,2.21M
UK,66.8M
Georgia,3.79M
Ghana,30.6M
Guinea,12.7M
Gambia,2.4M
Guinea-Bissau,1.92M
Equatorial Guinea,1.62M
Greece,10.7M
Grenada,116k
Guatemala,16.8M
Guyana,792k
"Hong Kong, China",7.47M
Honduras,9.77M
Holy See,
Croatia,4.02M
Haiti,11M
Hungary,9.77M
Indonesia,270M
India,1.37B
Ireland,4.87M
Iran,86.1M
Iraq,40.3M
Iceland,353k
Israel,8.51M
Italy,60.3M
Jamaica,2.82M
Jordan,10.5M
Japan,127M
Kazakhstan,18.9M
Kenya,50.2M
Kyrgyz Republic,6.34M
Cambodia,16.3M
Kiribati,122k
St. Kitts and Nevis,47k
South Korea,51.6M
Kuwait,4.32M
Lao,7.13M
Lebanon,5.98M
Liberia,4.94M
Libya,6.85M
St. Lucia,177k
Liechtenstein,38.1k
Sri Lanka,22.3M
Lesotho,2.18M
Lithuania,2.8M
Luxembourg,608k
Latvia,1.93M
Morocco,35.8M
Monaco,38.2k
Moldova,3.15M
Madagascar,27.5M
Maldives,473k
Mexico,125M
Marshall Islands,45.3k
North Macedonia,1.92M
Mali,20.4M
Malta,485k
Myanmar,52.3M
Montenegro,616k
Mongolia,3.17M
Mozambique,29M
Mauritania,4.34M
Mauritius,1.29M
Malawi,18.5M
Malaysia,32.9M
Namibia,2.58M
Niger,22.2M
Nigeria,205M
Nicaragua,6.4M
Netherlands,17.4M
Norway,5.31M
Nepal,28.1M
Nauru,11.5k
New Zealand,4.9M
Oman,4.6M
Pakistan,227M
Panama,4.17M
Peru,31.9M
Philippines,109M
Palau,17.8k
Papua New Guinea,9.39M
Poland,38.2M
North Korea,25.9M
Portugal,10.3M
Paraguay,6.43M
Palestine,4.85M
Qatar,2.76M
Romania,19.6M
Russia,146M
Rwanda,12.5M
Saudi Arabia,30.4M
Sudan,44.2M
Senegal,15.9M
Singapore,5.63M
Solomon Islands,709k
Sierra Leone,7.55M
El Salvador,6.22M
San Marino,34.5k
Somalia,15.5M
Serbia,7.02M
South Sudan,10.1M
Sao Tome and Principe,210k
Suriname,600k
Slovak Republic,5.44M
Slovenia,2.07M
Sweden,10.2M
Eswatini,1.17M
Seychelles,115k
Syria,19.6M
Chad,16.2M
Togo,8.26M
Thailand,71.4M
Tajikistan,9.31M
Turkmenistan,6.66M
Timor-Leste,1.28M
Tonga,106k
Trinidad and Tobago,1.47M
Tunisia,11.8M
Turkey,84.4M
Tuvalu,10.8k
Taiwan,23.7M
Tanzania,57.4M
Uganda,41.6M
Ukraine,45.2M
Uruguay,3.39M
USA,335M
Uzbekistan,32.4M
St. Vincent and the Grenadines,105k
Venezuela,29.8M
Vietnam,96.2M
Vanuatu,285k
Samoa,208k
Yemen,34.1M
South Africa,58.6M
Zambia,18M
Zimbabwe,15M
