country,2018
Aruba,591
Afghanistan,56.6
Angola,25.1
Anguilla,167
Albania,106
Andorra,160
UAE,132
Argentina,16
Armenia,102
American Samoa,255
Antigua and Barbuda,207
Australia,3.27
Austria,107
Azerbaijan,121
Burundi,457
Belgium,377
Benin,110
Burkina Faso,74.7
Bangladesh,1260
Bulgaria,64.8
Bahrain,1910
Bahamas,73.3
Bosnia and Herzegovina,66.2
Belarus,46.7
Belize,16.7
Bermuda,1180
Bolivia,10.6
Brazil,24.7
Barbados,653
Brunei,75.9
Bhutan,19.8
Botswana,4.06
Central African Republic,7.83
Canada,4.1
Switzerland,213
Chile,25.1
China,148
Cote d'Ivoire,86.4
Cameroon,53.2
"Congo, Dem. Rep.",39.7
"Congo, Rep.",16.1
Cook Is,69.2
Colombia,43.6
Comoros,415
Cape Verde,127
Costa Rica,97.1
Cuba,105
Cayman Islands,274
Cyprus,138
Czech Republic,137
Germany,239
Djibouti,46.2
Dominica,90.9
Denmark,137
Dominican Republic,223
Algeria,17.8
Ecuador,68.6
Egypt,106
Eritrea,26.4
Western Sahara,1.98
Spain,93.7
Estonia,30.4
Ethiopia,113
Finland,18.2
Fiji,50.2
Falkland Is (Malvinas),0.289
France,119
Faeroe Islands,36.8
"Micronesia, Fed. Sts.",157
Gabon,8.59
Guernsey,975
Isle of Man,147
UK,275
Georgia,54.6
Ghana,135
Gibraltar,3490
Guinea,51.7
Guadeloupe,255
Gambia,237
Guinea-Bissau,68.4
Equatorial Guinea,57.6
Greece,82
Grenada,340
Greenland,0.137
Guatemala,157
French Guiana,3.42
Guam,301
Guyana,4.02
"Hong Kong, China",6800
Honduras,89.5
Holy See,1240
Croatia,72
Haiti,398
Hungary,108
Indonesia,141
India,462
Ireland,71.3
Iran,52.9
Iraq,92.8
Iceland,3.52
Israel,393
Italy,204
Jamaica,260
Jersey,884
Jordan,118
Japan,337
Kazakhstan,7.01
Kenya,86.5
Kyrgyz Republic,33.1
Cambodia,89.9
Kiribati,168
St. Kitts and Nevis,181
South Korea,522
Kosovo,162
Kuwait,243
Lao,30.9
Lebanon,585
Liberia,51.3
Libya,4.09
St. Lucia,287
Liechtenstein,238
Sri Lanka,355
Lesotho,71.9
Lithuania,44.8
Luxembourg,235
Latvia,31
"Macao, China",20.6k
St. Martin (French part),679
Morocco,80.3
Monaco,25.6k
Moldova,95.9
Madagascar,47.3
Maldives,1580
Mexico,63.6
Marshall Islands,252
North Macedonia,77.1
Mali,16.8
Malta,1540
Myanmar,80
Montenegro,44.6
Mongolia,2.03
Northern Mariana Islands,107
Mozambique,36.9
Mauritania,4.21
Montserrat,44.4
Martinique,343
Mauritius,635
Malawi,196
Malaysia,100
Mayotte,719
Namibia,3.13
New Caledonia,15.5
Niger,17.5
Nigeria,225
Nicaragua,53.2
Niue,6.87
Netherlands,517
Curaçao,428
Norway,17.5
Nepal,191
Nauru,574
New Zealand,18.5
Oman,14.9
Pakistan,294
Panama,56.2
Peru,24.9
Philippines,365
Palau,38.7
Papua New Guinea,20.7
Poland,125
Puerto Rico,379
North Korea,215
Portugal,112
Paraguay,15.9
Palestine,806
French Polynesia,76
Qatar,238
Reunion,343
Romania,85.2
Russia,8.94
Rwanda,516
Saudi Arabia,14.1
Sudan,25.1
Senegal,82.7
Singapore,8250
St. Helena,14.1
Solomon Islands,24.6
Sierra Leone,105
El Salvador,300
San Marino,566
Somalia,24.6
St.-Pierre-et-Miquelon,25.7
Serbia,91.5
South Sudan,17.9
St. Barthélemy,459
Sao Tome and Principe,219
Suriname,3.84
Slovak Republic,111
Slovenia,103
Sweden,25
Eswatini,67.3
Sint Maarten (Dutch part),1170
Seychelles,252
Syria,107
Turks and Caicos Islands,43.7
Chad,12.8
Togo,152
Thailand,140
Tajikistan,65
Tokelau,156
Turkmenistan,14.2
Timor-Leste,85.8
Tonga,162
Trinidad and Tobago,287
Tunisia,75.7
Turkey,110
Tuvalu,358
Taiwan,668
Tanzania,64.8
Uganda,208
Ukraine,78
Uruguay,19.6
USA,36.6
Uzbekistan,76.1
St. Vincent and the Grenadines,269
Venezuela,32.5
British Virgin Islands,225
Virgin Islands (U.S.),264
Vietnam,307
Vanuatu,23.4
Wallis et Futuna,84.3
Samoa,73.4
Yemen,64.6
South Africa,48
Zambia,24.2
Zimbabwe,38.9
