country,2018
Afghanistan,4.58
Angola,5.48
Albania,12.1
Andorra,61.8
UAE,78.8
Argentina,22.4
Armenia,8.79
Antigua and Barbuda,21.7
Australia,64.6
Austria,64.9
Azerbaijan,18.9
Burundi,2.06
Belgium,57.0
Benin,4.66
Burkina Faso,4.28
Bangladesh,4.63
Bulgaria,26.5
Bahrain,50.2
Bahamas,33.9
Bosnia and Herzegovina,27.6
Belarus,18.2
Belize,8.41
Bolivia,18.7
Brazil,21.0
Barbados,16.2
Brunei,62.2
Bhutan,11.6
Botswana,9.65
Central African Republic,2.4
Canada,65.7
Switzerland,77.1
Chile,25.2
China,13.4
Cote d'Ivoire,5.66
Cameroon,6.08
"Congo, Dem. Rep.",2.36
"Congo, Rep.",3.53
Colombia,15.5
Comoros,6.65
Cape Verde,10.4
Costa Rica,25.6
Cuba,12.2
Cyprus,51.2
Czech Republic,37.6
Germany,64.8
Djibouti,5.61
Dominica,12.4
Denmark,62.7
Dominican Republic,16.2
Algeria,9.73
Ecuador,15.7
Egypt,6.53
Eritrea,2.88
Spain,44.9
Estonia,38.9
Ethiopia,4.42
Finland,57.8
Fiji,8.32
France,59.6
"Micronesia, Fed. Sts.",5.77
Gabon,12.1
UK,54.4
Georgia,7.97
Ghana,5.59
Guinea,4.4
Gambia,5.09
Guinea-Bissau,4.21
Equatorial Guinea,18.0
Greece,26.8
Grenada,15.6
Guatemala,10.0
Guyana,14.1
"Hong Kong, China",63.6
Honduras,10.0
Croatia,27.4
Haiti,4.1
Hungary,25.9
Indonesia,7.28
India,4.95
Ireland,54.1
Iran,16.0
Iraq,12.2
Iceland,64.3
Israel,41.0
Italy,48.0
Jamaica,15.3
Jordan,13.7
Japan,52.5
Kazakhstan,12.4
Kenya,3.78
Kyrgyz Republic,6.69
Cambodia,5.51
Kiribati,6.19
St. Kitts and Nevis,29.4
South Korea,45.5
Kuwait,49.8
Lao,6.52
Lebanon,28.8
Liberia,3.87
Libya,25.4
St. Lucia,21.2
Sri Lanka,9.19
Lesotho,4.52
Lithuania,34.9
Luxembourg,83.9
Latvia,31.7
Morocco,11.6
Monaco,70.8
Moldova,11.9
Madagascar,1.65
Maldives,18.9
Mexico,14.7
Marshall Islands,10.1
North Macedonia,13.7
Mali,4.93
Malta,50.1
Myanmar,6.95
Montenegro,17.0
Mongolia,9.86
Mozambique,2.24
Mauritania,6.74
Mauritius,17.2
Malawi,2.2
Malaysia,32.8
Namibia,11.1
Niger,2.85
Nigeria,3.66
Nicaragua,12.3
Netherlands,60.4
Norway,72.1
Nepal,7.2
Nauru,7.56
New Zealand,43.3
Oman,33.9
Pakistan,4.98
Panama,32.4
Peru,13.6
Philippines,8.16
Palau,18.3
Papua New Guinea,4.35
Poland,26.1
North Korea,4.43
Portugal,33.0
Paraguay,19.2
Palestine,13.6
Qatar,105.0
Romania,17.1
Russia,27.5
Rwanda,3.32
Saudi Arabia,48.7
Sudan,4.16
Senegal,5.98
Singapore,116.0
Solomon Islands,4.19
Sierra Leone,3.89
El Salvador,11.9
San Marino,59.1
Somalia,2.67
Serbia,16.0
South Sudan,1.87
Sao Tome and Principe,5.53
Suriname,18.6
Slovak Republic,25.4
Slovenia,42.5
Sweden,56.6
Eswatini,5.79
Seychelles,22.3
Syria,6.13
Chad,3.81
Togo,4.55
Thailand,16.0
Tajikistan,7.5
Turkmenistan,12.2
Timor-Leste,3.29
Tonga,9.41
Trinidad and Tobago,26.3
Tunisia,14.2
Turkey,22.5
Tuvalu,10.7
Taiwan,48.5
Tanzania,3.29
Uganda,3.52
Ukraine,13.6
Uruguay,29.3
USA,80.6
Uzbekistan,3.27
St. Vincent and the Grenadines,14.2
Venezuela,6.66
Vietnam,13.5
Vanuatu,5.42
Samoa,11.1
Yemen,2.52
South Africa,11.9
Zambia,3.03
Zimbabwe,4.45
