country,2018
Aruba,
Afghanistan,
Albania,40.6
UAE,
Argentina,35.8
Armenia,38.0
Australia,33.2
Austria,35.6
Azerbaijan,36.9
Burundi,
Belgium,36.6
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,39.9
Bosnia and Herzegovina,41.2
Belarus,35.4
Belize,
Bermuda,
Bolivia,
Brazil,37.4
Brunei,46.5
Botswana,
Canada,35.7
Switzerland,36.4
Chile,37.3
China,
Cote d'Ivoire,
"Congo, Dem. Rep.",
"Congo, Rep.",
Cook Is,
Colombia,42.1
Comoros,
Costa Rica,40.8
Cuba,
Cayman Islands,
Cyprus,38.2
Czech Republic,39.0
Germany,35.2
Denmark,34.4
Dominican Republic,39.5
Algeria,
Ecuador,37.4
Egypt,45.5
Spain,37.4
Estonia,38.1
Ethiopia,
Finland,35.9
Falkland Is (Malvinas),
France,36.4
"Micronesia, Fed. Sts.",
Isle of Man,
UK,35.8
Georgia,37.6
Ghana,
Gambia,49.8
Greece,40.9
Guatemala,
"Hong Kong, China",
Honduras,39.2
Croatia,38.6
Haiti,
Hungary,38.2
Indonesia,38.2
India,48.1
Ireland,36.6
Iran,43.2
Iraq,
Iceland,39.5
Israel,36.0
Italy,36.9
Jamaica,
Jersey,
Jordan,46.6
Japan,38.1
Kazakhstan,
Kenya,
Kyrgyz Republic,38.0
Cambodia,
Kiribati,
South Korea,41.2
Kosovo,43.4
Lao,
Lebanon,
Liberia,
St. Lucia,40.6
Sri Lanka,41.7
Lesotho,
Lithuania,38.5
Luxembourg,37.8
Latvia,38.9
"Macao, China",
Morocco,
Moldova,37.5
Madagascar,
Maldives,
Mexico,42.0
Marshall Islands,
North Macedonia,41.9
Mali,42.3
Malta,38.0
Myanmar,45.6
Montenegro,43.3
Mongolia,50.0
Mozambique,
Mauritania,
Montserrat,
Mauritius,35.1
Malawi,
Malaysia,45.0
Namibia,43.1
Niger,
Nigeria,
Nicaragua,
Netherlands,32.2
Curaçao,36.6
Norway,34.2
Nepal,
Nauru,
New Zealand,33.0
Pakistan,46.8
Panama,36.8
Peru,38.4
Philippines,41.8
Palau,
Poland,39.6
Puerto Rico,
Portugal,38.5
Paraguay,39.6
Palestine,39.2
Qatar,
Reunion,
Romania,38.9
Russia,37.9
Rwanda,33.0
Saudi Arabia,
Senegal,
Singapore,44.2
Solomon Islands,
Sierra Leone,
El Salvador,42.1
Serbia,39.0
Slovak Republic,38.8
Slovenia,38.5
Sweden,35.9
Eswatini,
Seychelles,41.3
Thailand,42.5
Tajikistan,
Timor-Leste,
Tonga,34.4
Turkey,45.2
Tuvalu,
Tanzania,
Uganda,
Ukraine,
Uruguay,42.1
USA,36.9
Venezuela,
Vietnam,41.2
Vanuatu,
Samoa,
Yemen,
South Africa,42.1
Zambia,40.2
Zimbabwe,
