country,pop,whpw,isr10,iu,munemployment,popdens,vac,adi,wbdhe,arppc,albsoap,albwsoap,cm,c02,demox,funemployment,gdp,povrate,lex
Afghanistan,36.7M,,,16.8,,56.6,2.1,4.58,14.20841885,103,49.2,70.9,62.3,0.254,29.7,,2060,83.8,62.7
Africa Eastern and Southern,,,,,,,,,5.8093265866731,,,,,,,,,,
Africa Western and Central,,,,,,,,,3.44487799023233,,,,,,,,,,
Albania,2.89M,40.6,22.7,65.4,11.0,106,1.7,12.1,6.66844559,120,99.0,94.4,8.82,2.08,59.8,11.3,13.3k,18.4,78.4
Algeria,42.5M,,,49.0,,17.8,3.7,9.73,6.38729763,3.4,86.3,94.0,23.5,3.69,35.0,,11.7k,30.0,76.0
American Samoa,,,,,,255,,,,,54.2,99.2,,,,,,,
Andorra,75.2k,,,,,160,,61.8,7.37541723,,100.0,100.0,2.89,6.12,,,56.2k,,82.1
Angola,31.3M,,39.6,29.0,,25.1,,5.48,2.58879566,5.2,51.1,56.6,77.2,1.12,36.2,,6880,77.3,64.6
Anguilla,,,,,,167,,,,,,,,,,,,,
Antigua and Barbuda,90.9k,,,79.6,,207,,21.7,4.84869289,194,97.4,98.4,6.44,5.88,,,22.4k,10.4,76.2
Arab World,,,,,,,,,4.85787788077755,,,,,,,,,,
Argentina,44.7M,35.8,30.1,77.7,6.03,16,1.2,22.4,10.29146862,1.64,,,9.94,3.95,70.2,8.74,22.7k,11.1,76.5
Armenia,2.91M,38.0,29.2,68.2,17.0,102,12.2,8.79,10.01,47.8,93.7,99.9,12.4,2.49,47.9,20.4,13.2k,47.4,75.6
Aruba,,,,,,591,,,,,98.7,,,,,,,,
Australia,25.1M,33.2,26.2,90.0,3.83,3.27,3.3,64.6,10.05971909,,100.0,100.0,3.69,14.6,90.9,4.44,49.2k,1.04,82.9
Austria,8.84M,35.6,23.9,87.5,4.66,107,11.8,64.9,10.35,,100.0,100.0,3.52,10.3,82.9,4.13,55.5k,0.68,82.1
Azerbaijan,10M,36.9,,79.8,3.26,121,8.3,18.9,3.84,8.79,96.1,94.9,21.5,3.47,26.5,4.89,14.2k,2.16,70.8
Bahamas,393k,,,83.0,,73.3,,33.9,,,94.9,98.9,10.2,4.7,,,34.1k,7.78,73.8
"Bahamas, The",,,,,,,,,5.98263836,,,,,,,,,,
Bahrain,1.5M,,,98.6,,1910,,50.2,4.12745667,,100.0,99.9,7.09,12.9,27.1,,49k,2.99,77.0
Bangladesh,164M,,,25.6,,1260,0.4,4.63,2.31622243,18.6,53.4,97.7,30.2,0.775,55.7,,5120,82.5,74.2
Barbados,281k,,,72.4,6.93,653,,16.2,6.45336485,,97.3,98.5,12.2,4.48,,7.93,15.9k,32.1,76.5
Belarus,9.48M,35.4,21.4,79.1,5.28,46.7,7.6,18.2,5.53,12.6,98.9,98.4,3.42,6.5,31.3,2.9,19k,2.72,74.0
Belgium,11.4M,36.6,22.2,88.6,5.66,377,4.7,57.0,10.86148262,,99.5,100.0,3.65,18.1,77.8,5.04,50.8k,0.2,81.4
Belize,380k,,,49.8,,16.7,,8.41,4.74657917,89,88.2,98.4,13.0,1.5,,,8660,67.3,74.4
Benin,12.4M,,30.0,19.0,0.99,110,1.8,4.66,2.88632059,46.4,18.0,66.5,93.0,0.659,57.4,1.2,3040,85.9,64.0
Bermuda,,,,,,1180,,,,,99.9,99.9,,,,,,,
Bhutan,760k,,,63.5,,19.8,,11.6,3.2427721,142,74.1,98.8,29.7,1.61,53.0,,11.2k,21.7,73.0
Bolivia,11.5M,,30.6,44.3,3.06,10.6,1.8,18.7,6.60399437,63.3,62.0,92.0,26.8,2.03,57.0,3.68,8470,19.9,71.8
Bosnia and Herzegovina,3.39M,41.2,,70.1,16.0,66.2,5.9,27.6,8.76,105,95.4,96.1,5.81,6.53,49.8,20.6,14.3k,4.26,76.9
Botswana,2.3M,,,58.0,,4.06,3.8,9.65,6.04010344,37.3,78.5,91.3,36.5,4.94,78.1,,15k,61.9,61.8
Brazil,206M,37.4,42.5,70.4,8.21,24.7,0.5,21.0,9.46475029,2.16,88.5,98.7,14.3,2.26,69.7,11.3,14.7k,26.7,75.7
British Virgin Islands,,,,,,225,,,,,,99.9,,,,,,,
Brunei,438k,46.5,,95.0,4.28,75.9,,62.2,,,94.6,99.9,11.6,21.5,,7.07,59.7k,0.45,74.2
Brunei Darussalam,,,,,,,,,2.41289377,,,,,,,,,,
